bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,repeticion,capacidad_antes,capacidad_despues,crecimiento,total_ns,ns_por_operacion,checksum
pilas,PilaArreglo,peek,general,20261022,100,100,50000,4,101,101,false,800,0.016,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,5,101,101,false,800,0.016,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,6,101,101,false,700,0.014,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,7,101,101,false,800,0.016,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,8,101,101,false,800,0.016,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,9,101,101,false,700,0.014,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,10,101,101,false,700,0.014,550000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,1,101,101,false,700,0.014,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,2,101,101,false,800,0.016,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,3,101,101,false,800,0.016,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,4,101,101,false,700,0.014,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,5,101,101,false,700,0.014,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,6,101,101,false,700,0.014,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,7,101,101,false,800,0.016,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,8,101,101,false,700,0.014,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,9,101,101,false,700,0.014,5000000
pilas,PilaArreglo,size,no_vacia,20261022,100,100,50000,10,101,101,false,700,0.014,5000000
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,1,101,101,false,43900,0.878,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,2,101,101,false,44500,0.890,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,3,101,101,false,43900,0.878,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,4,101,101,false,44100,0.882,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,5,101,101,false,43600,0.872,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,6,101,101,false,43600,0.872,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,7,101,101,false,43700,0.874,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,8,101,101,false,44700,0.894,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,9,101,101,false,44100,0.882,0
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,10,101,101,false,43800,0.876,0
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,1,100,100,false,11500,5.750,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,2,100,100,false,7300,3.650,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,3,100,100,false,7000,3.500,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,4,100,100,false,6800,3.400,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,5,100,100,false,5800,2.900,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,6,100,100,false,5400,2.700,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,7,100,100,false,5500,2.750,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,8,100,100,false,5100,2.550,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,9,100,100,false,7800,3.900,2000
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,10,100,100,false,5800,2.900,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,1,100,100,false,118500,59.250,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,2,100,100,false,116600,58.300,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,3,100,100,false,120100,60.050,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,4,100,100,false,116600,58.300,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,5,100,100,false,117000,58.500,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,6,100,100,false,116500,58.250,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,7,100,100,false,116900,58.450,2000
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,8,100,100,false,117100,58.550,2000
