bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,capacidad_antes,capacidad_despues,crecimiento,n_efectivo,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
pilas,PilaEnlazada,delete,ausente,20261922,1000,1000,200,-1,-1,false,1000,10,2182.5,2382.125,2400.5,2658.25,2984.0,276.125,2504.45
pilas,PilaEnlazada,delete,ausente,20270922,10000,10000,20,-1,-1,false,10000,10,16565.0,17840.0,18347.5,18735.0,23340.0,895.0,18875.0
pilas,PilaEnlazada,delete,ausente,20360922,100000,100000,3,-1,-1,false,100000,10,151566.667,155816.6665,162233.3335,170075.0,179666.667,14258.333500000008,163956.6668
pilas,PilaArreglo,delete,base,20260932,10,9,2000,10,10,false,10,10,16.8,16.85,16.875,16.95,17.05,0.09999999999999787,16.905
pilas,PilaArreglo,delete,base,20261022,100,99,2000,100,100,false,100,10,106.8,107.15,107.2,107.7375,118.3,0.5874999999999915,108.62
pilas,PilaArreglo,delete,base,20261922,1000,999,200,1000,1000,false,1000,10,965.5,1135.125,1162.25,1289.625,2101.5,154.5,1329.35
pilas,PilaArreglo,delete,base,20270922,10000,9999,20,10000,10000,false,10000,10,9165.0,9782.5,10002.5,10447.5,14265.0,665.0,10455.0
pilas,PilaArreglo,delete,base,20360922,100000,99999,3,100000,100000,false,100000,10,97800.0,106266.66649999999,114300.0,119108.33325,139166.667,12841.666750000004,114336.66669999999
pilas,PilaEnlazada,delete,base,20260932,10,9,2000,-1,-1,false,10,10,17.55,17.6,17.625,17.775,18.25,0.17499999999999716,17.73
pilas,PilaEnlazada,delete,base,20261022,100,99,2000,-1,-1,false,100,10,385.9,419.45000000000005,445.54999999999995,458.65,501.35,39.19999999999993,442.825
pilas,PilaEnlazada,delete,base,20261922,1000,999,200,-1,-1,false,1000,10,3436.5,3571.25,3689.5,3917.0,5741.5,345.75,3913.1
pilas,PilaEnlazada,delete,base,20270922,10000,9999,20,-1,-1,false,10000,10,27755.0,28766.25,29420.0,30113.75,36710.0,1347.5,30185.5
pilas,PilaEnlazada,delete,base,20360922,100000,99999,3,-1,-1,false,100000,10,262933.333,274750.0,281366.6665,331975.00025000004,507433.333,57225.00025000004,313656.6666
pilas,PilaArreglo,delete,cima,20260932,10,9,2000,10,10,false,10,10,9.05,14.7125,32.4,76.5375,87.05,61.824999999999996,43.4
pilas,PilaArreglo,delete,cima,20261022,100,99,2000,100,100,false,100,10,2.55,2.7875,3.15,3.6125,5.75,0.8249999999999997,3.4
pilas,PilaArreglo,delete,cima,20261922,1000,999,200,1000,1000,false,1000,10,3.5,5.125,6.0,7.125,10.0,2.0,6.15
pilas,PilaArreglo,delete,cima,20270922,10000,9999,20,10000,10000,false,10000,10,40.0,40.0,45.0,50.0,50.0,10.0,45.0
pilas,PilaArreglo,delete,cima,20360922,100000,99999,3,100000,100000,false,100000,10,0.0,0.0,33.333,66.667,100.0,66.667,36.666700000000006
pilas,PilaEnlazada,delete,cima,20260932,10,9,2000,-1,-1,false,10,10,49.1,64.2,76.375,78.15,80.1,13.950000000000003,70.07000000000001
pilas,PilaEnlazada,delete,cima,20261022,100,99,2000,-1,-1,false,100,10,4.2,5.625,7.275,8.3125,9.05,2.6875,6.959999999999999
pilas,PilaEnlazada,delete,cima,20261922,1000,999,200,-1,-1,false,1000,10,34.0,35.125,40.5,41.875,44.5,6.75,39.1
pilas,PilaEnlazada,delete,cima,20270922,10000,9999,20,-1,-1,false,10000,10,25.0,61.25,75.0,90.0,195.0,28.75,84.0
pilas,PilaEnlazada,delete,cima,20360922,100000,99999,3,-1,-1,false,100000,10,33.333,33.333,83.3335,100.0,133.333,66.667,73.3332
pilas,PilaArreglo,delete,medio,20260932,10,9,2000,10,10,false,10,10,31.85,31.875,32.0,55.45,72.85,23.575000000000003,43.269999999999996
pilas,PilaArreglo,delete,medio,20261022,100,99,2000,100,100,false,100,10,58.15,58.3,58.475,58.625,60.05,0.32500000000000284,58.645
pilas,PilaArreglo,delete,medio,20261922,1000,999,200,1000,1000,false,1000,10,541.0,623.125,671.0,699.375,1004.5,76.25,685.85
pilas,PilaArreglo,delete,medio,20270922,10000,9999,20,10000,10000,false,10000,10,6505.0,7575.0,7755.0,8052.5,11895.0,477.5,8243.0
pilas,PilaArreglo,delete,medio,20360922,100000,99999,3,100000,100000,false,100000,10,48766.667,50466.667,58150.0,60208.333,63100.0,9741.665999999997,56220.000100000005
pilas,PilaEnlazada,delete,medio,20260932,10,9,2000,-1,-1,false,10,10,48.95,67.6,69.575,72.3625,137.65,4.762500000000003,79.2
pilas,PilaEnlazada,delete,medio,20261022,100,99,2000,-1,-1,false,100,10,226.45,242.25,285.79999999999995,312.9125,394.4,70.66250000000002,292.25
pilas,PilaEnlazada,delete,medio,20261922,1000,999,200,-1,-1,false,1000,10,2489.0,2882.375,3127.5,3640.625,5099.0,758.25,3352.6
pilas,PilaEnlazada,delete,medio,20270922,10000,9999,20,-1,-1,false,10000,10,12590.0,13066.25,14525.0,16421.25,17840.0,3355.0,14894.5
pilas,PilaEnlazada,delete,medio,20360922,100000,99999,3,-1,-1,false,100000,10,125066.667,125758.33350000001,128766.66649999999,139191.66650000002,176866.667,13433.333000000013,135713.3334
pilas,PilaArreglo,isEmpty,no_vacia,20260932,10,10,50000,11,11,false,10,10,2.466,2.468,2.471,2.5060000000000002,2.618,0.038000000000000256,2.5012
pilas,PilaArreglo,isEmpty,no_vacia,20261022,100,100,50000,101,101,false,100,10,0.872,0.8745,0.878,0.882,0.894,0.007499999999999951,0.8798
pilas,PilaArreglo,isEmpty,no_vacia,20261922,1000,1000,50000,1001,1001,false,1000,10,0.428,0.46,0.462,0.4715,0.482,0.011499999999999955,0.4626
pilas,PilaArreglo,isEmpty,no_vacia,20270922,10000,10000,50000,10001,10001,false,10000,10,0.0,0.0,0.0,0.0,0.002,0.0,0.0002
pilas,PilaArreglo,isEmpty,no_vacia,20360922,100000,100000,50000,100001,100001,false,100000,10,0.0,0.0,0.0,0.002,0.002,0.002,0.0008
pilas,PilaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,-1,-1,false,10,10,2.764,2.766,2.766,2.8205,3.592,0.05449999999999999,2.8718
pilas,PilaEnlazada,isEmpty,no_vacia,20261022,100,100,50000,-1,-1,false,100,10,0.0,0.0,0.0,0.0015,0.002,0.0015,0.0006000000000000001
pilas,PilaEnlazada,isEmpty,no_vacia,20261922,1000,1000,50000,-1,-1,false,1000,10,0.0,0.0,0.0,0.0,0.002,0.0,0.0004
pilas,PilaEnlazada,isEmpty,no_vacia,20270922,10000,10000,50000,-1,-1,false,10000,10,0.0,0.0,0.0,0.0,0.002,0.0,0.0002
pilas,PilaEnlazada,isEmpty,no_vacia,20360922,100000,100000,50000,-1,-1,false,100000,10,0.0,0.0,0.0,0.002,0.002,0.002,0.0008
pilas,PilaArreglo,peek,general,20260932,10,10,50000,11,11,false,10,10,0.016,3.621,3.6550000000000002,3.714,3.884,0.09299999999999997,2.9718
pilas,PilaArreglo,peek,general,20261022,100,100,50000,101,101,false,100,10,0.014,0.0145,0.016,0.016,0.016,0.0014999999999999996,0.0154
pilas,PilaArreglo,peek,general,20261922,1000,1000,50000,1001,1001,false,1000,10,0.014,0.014,0.014,0.0155,0.016,0.0014999999999999996,0.014599999999999998
pilas,PilaArreglo,peek,general,20270922,10000,10000,50000,10001,10001,false,10000,10,0.014,0.0145,0.016,0.016,0.016,0.0014999999999999996,0.0154
pilas,PilaArreglo,peek,general,20360922,100000,100000,50000,100001,100001,false,100000,10,0.014,0.014,0.015,0.016,0.016,0.002,0.015
pilas,PilaEnlazada,peek,general,20260932,10,10,50000,-1,-1,false,10,10,5.642,6.7345,6.768,6.864,7.294,0.12950000000000017,6.7212000000000005
pilas,PilaEnlazada,peek,general,20261022,100,100,50000,-1,-1,false,100,10,0.7,0.7064999999999999,0.71,0.7155,0.806,0.009000000000000119,0.7192000000000001
pilas,PilaEnlazada,peek,general,20261922,1000,1000,50000,-1,-1,false,1000,10,0.014,0.014,0.014,0.0155,0.016,0.0014999999999999996,0.014599999999999998
pilas,PilaEnlazada,peek,general,20270922,10000,10000,50000,-1,-1,false,10000,10,0.014,0.016,0.016,0.016,0.016,0.0,0.0156
pilas,PilaEnlazada,peek,general,20360922,100000,100000,50000,-1,-1,false,100000,10,0.014,0.014,0.014,0.016,0.016,0.002,0.014799999999999999
pilas,PilaArreglo,pop,general,20260932,10,9,2000,10,10,false,10,10,36.9,39.3625,39.974999999999994,40.425,79.25,1.0625,43.614999999999995
pilas,PilaArreglo,pop,general,20261022,100,99,2000,100,100,false,100,10,7.4,9.612499999999999,11.65,13.012500000000001,17.3,3.400000000000002,11.675
pilas,PilaArreglo,pop,general,20261922,1000,999,200,1000,1000,false,1000,10,6.0,6.625,7.75,9.5,28.0,2.875,10.1
pilas,PilaArreglo,pop,general,20270922,10000,9999,20,10000,10000,false,10000,10,70.0,75.0,80.0,85.0,115.0,10.0,85.5
pilas,PilaArreglo,pop,general,20360922,100000,99999,3,100000,100000,false,100000,10,0.0,33.333,50.0,91.66675000000001,266.667,58.33375000000001,76.66659999999999
pilas,PilaEnlazada,pop,general,20260932,10,9,2000,-1,-1,false,10,10,36.15,38.849999999999994,154.1,387.4125,418.7,348.5625,204.245
pilas,PilaEnlazada,pop,general,20261022,100,99,2000,-1,-1,false,100,10,8.3,9.100000000000001,11.899999999999999,19.225,34.45,10.125,15.25
pilas,PilaEnlazada,pop,general,20261922,1000,999,200,-1,-1,false,1000,10,40.5,43.375,45.75,47.0,53.5,3.625,46.25
pilas,PilaEnlazada,pop,general,20270922,10000,9999,20,-1,-1,false,10000,10,20.0,31.25,42.5,53.75,90.0,22.5,48.0
