implementacion,metodo,escenario,n_anterior,n_actual,factor_n,mediana_anterior_ns,mediana_actual_ns,ratio_tiempo
ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,1000,10000,10.0,25.0,17.5,0.7
ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,10000,100000,10.0,17.5,42.5,2.4285714285714284
ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,10,100,10.0,104.75,26.0,0.24821002386634844
ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,100,1000,10.0,26.0,33.0,1.2692307692307692
ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,1000,10000,10.0,33.0,25.0,0.7575757575757576
ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,10000,100000,10.0,25.0,45.0,1.8
ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,10,100,10.0,75.5,26.0,0.3443708609271523
ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,100,1000,10.0,26.0,25.0,0.9615384615384616
ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,1000,10000,10.0,25.0,22.5,0.9
ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,10000,100000,10.0,22.5,27.5,1.2222222222222223
ListaDobleConCola,addBefore,medio_nodo_prelocalizado,10,100,10.0,75.25,29.25,0.38870431893687707
ListaDobleConCola,addBefore,medio_nodo_prelocalizado,100,1000,10.0,29.25,25.5,0.8717948717948718
ListaDobleConCola,addBefore,medio_nodo_prelocalizado,1000,10000,10.0,25.5,22.5,0.8823529411764706
ListaDobleConCola,addBefore,medio_nodo_prelocalizado,10000,100000,10.0,22.5,25.0,1.1111111111111112
ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,10,100,10.0,31.75,27.5,0.8661417322834646
ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,100,1000,10.0,27.5,23.5,0.8545454545454545
ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,1000,10000,10.0,23.5,20.0,0.851063829787234
ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,10000,100000,10.0,20.0,30.0,1.5
ListaSimpleConCola,addBefore,medio_nodo_prelocalizado,10,100,10.0,158.5,69.5,0.4384858044164038
