bloque,implementacion,metodo,escenario,semilla,n_inicial,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
listas,ListaDobleConCola,erase,inicio_nodo_prelocalizado,20261921,1000,100,10,21.0,25.5,28.5,31.5,34.0,6.0,28.5
listas,ListaDobleConCola,erase,inicio_nodo_prelocalizado,20270921,10000,20,10,0.0,12.5,22.5,68.75,80.0,56.25,36.5
listas,ListaDobleConCola,erase,inicio_nodo_prelocalizado,20360921,100000,20,10,0.0,20.0,30.0,48.75,50.0,28.75,31.5
listas,ListaDobleSinCola,erase,inicio_nodo_prelocalizado,20260931,10,200,10,45.5,56.625,68.25,89.0,99.0,32.375,71.9
listas,ListaDobleSinCola,erase,inicio_nodo_prelocalizado,20261021,100,200,10,25.5,25.625,26.5,27.375,95.0,1.75,33.65
listas,ListaDobleSinCola,erase,inicio_nodo_prelocalizado,20261921,1000,100,10,41.0,42.0,43.5,50.75,55.0,8.75,46.1
listas,ListaDobleSinCola,erase,inicio_nodo_prelocalizado,20270921,10000,20,10,15.0,25.0,25.0,25.0,30.0,0.0,24.5
listas,ListaDobleSinCola,erase,inicio_nodo_prelocalizado,20360921,100000,20,10,5.0,21.25,27.5,30.0,45.0,8.75,26.0
listas,ListaSimpleConCola,erase,inicio_nodo_prelocalizado,20260931,10,200,10,83.0,89.125,94.0,100.0,121.0,10.875,95.7
listas,ListaSimpleConCola,erase,inicio_nodo_prelocalizado,20261021,100,200,10,24.0,24.5,25.5,26.0,30.5,1.5,26.0
listas,ListaSimpleConCola,erase,inicio_nodo_prelocalizado,20261921,1000,100,10,16.0,19.5,23.0,25.75,34.0,6.25,23.3
listas,ListaSimpleConCola,erase,inicio_nodo_prelocalizado,20270921,10000,20,10,15.0,20.0,20.0,23.75,25.0,3.75,21.0
listas,ListaSimpleConCola,erase,inicio_nodo_prelocalizado,20360921,100000,20,10,5.0,16.25,27.5,35.0,40.0,18.75,25.5
listas,ListaSimpleSinCola,erase,inicio_nodo_prelocalizado,20260931,10,200,10,85.0,86.125,87.5,90.875,93.5,4.75,88.6
listas,ListaSimpleSinCola,erase,inicio_nodo_prelocalizado,20261021,100,200,10,21.0,23.125,24.0,26.25,30.5,3.125,24.75
listas,ListaSimpleSinCola,erase,inicio_nodo_prelocalizado,20261921,1000,100,10,11.0,16.25,21.0,23.75,28.0,7.5,20.5
listas,ListaSimpleSinCola,erase,inicio_nodo_prelocalizado,20270921,10000,20,10,10.0,20.0,25.0,25.0,30.0,5.0,22.0
listas,ListaSimpleSinCola,erase,inicio_nodo_prelocalizado,20360921,100000,20,10,5.0,20.0,22.5,25.0,25.0,5.0,21.0
